benchmark,LVN,baseline,improvement,percent_improvement
ackermann,1464231.0,1464231.0,0.0,0.0
bbs,137.0,137.0,0.0,0.0
bin-search,,358.0,,
binary-fmt,100.0,100.0,0.0,0.0
binpow,105.0,105.0,0.0,0.0
bitshift,,167.0,,
catalan,659378.0,659378.0,0.0,0.0
check-primes,,8468.0,,
collatz,169.0,169.0,0.0,0.0
combination,178.0,178.0,0.0,0.0
dayofweek,,269.0,,
delannoy,3647242.0,5748752.0,2101510.0,36.55593422711573
euclid,,563.0,,
fact,167.0,229.0,62.0,27.074235807860262
factors,72.0,72.0,0.0,0.0
fib_recursive,,2693.0,,
fitsinside,10.0,10.0,0.0,0.0
fizz-buzz,1998.0,3652.0,1654.0,45.29025191675794
gcd,46.0,46.0,0.0,0.0
grad_desc,229.0,229.0,0.0,0.0
hanoi,99.0,99.0,0.0,0.0
is-decreasing,120.0,127.0,7.0,5.511811023622047
lcm,2326.0,2326.0,0.0,0.0
legendre,101.0,153.0,52.0,33.98692810457516
loopfact,79.0,116.0,37.0,31.896551724137932
mccarthy91,1385.0,1385.0,0.0,0.0
mod_inv,305.0,558.0,253.0,45.340501792114694
mod_pow,,243.0,,
montgomery,17.0,17.0,0.0,0.0
orders,5352.0,5352.0,0.0,0.0
perfect,232.0,232.0,0.0,0.0
permutation,,130.0,,
pythagorean_triple,61518.0,61518.0,0.0,0.0
quadratic,500.0,785.0,285.0,36.30573248407644
recfact,,104.0,,
rectangles-area-difference,14.0,14.0,0.0,0.0
relative-primes,,1923.0,,
rot13,8.0,8.0,0.0,0.0
sqrt_bin_search,313.0,744.0,431.0,57.93010752688172
sum-digits,116.0,219.0,103.0,47.03196347031963
sum-divisible-by-m,8.0,16.0,8.0,50.0
sum-of-cubes,7.0,8.0,1.0,12.5
sum-sq-diff,,3038.0,,
sum-to-ten,89.0,143.0,54.0,37.76223776223776
totient,253.0,253.0,0.0,0.0
